customer_id,customer_name,recency_days,frequency_orders,monetary_sales,monetary_profit,r_score,f_score,m_score,customer_segment
JM-15580,Jill Matthias,1,6,3664.46,112.52,5,5,5,Champions
EB-13975,Erica Bern,2,4,2401.26,162.88,5,3,4,Loyal Customers
PO-18865,Patrick O'Donnell,2,5,2470.1,305.67,5,4,4,Champions
CC-12430,Chuck Clark,2,9,3442.29,364.27,5,5,5,Champions
BS-11755,Bruce Stewart,3,4,2405.57,198.79,5,3,4,Loyal Customers
KH-16360,Katherine Hughes,3,4,3050.72,560.62,5,4,4,Champions
KB-16600,Ken Brennan,3,5,1964.06,274.03,5,4,3,Loyal Customers
MC-17845,Michael Chen,3,5,2176.15,302.66,5,4,4,Champions
JG-15160,James Galang,3,7,2178.34,300.21,5,5,4,Champions
BP-11185,Ben Peterman,3,7,4370.43,296.84,5,5,5,Champions
GH-14665,Greg Hansen,4,1,551.02,-8.88,5,1,1,New Customers
JF-15415,Jennifer Ferguson,4,2,3079.73,550.85,5,2,4,New Customers
PC-18745,Pamela Coakley,4,3,455.58,76.0,5,2,1,New Customers
KH-16690,Kristen Hastings,4,3,484.56,225.17,5,2,1,New Customers
LO-17170,Lori Olson,4,3,2730.4,115.72,5,3,4,Loyal Customers
EH-14005,Erica Hernandez,4,5,1367.19,154.63,5,4,3,Loyal Customers
JG-15310,Jason Gross,4,6,1940.58,3.8,5,5,3,Loyal Customers
HM-14860,Harry Marie,4,7,3086.08,66.11,5,5,4,Champions
CS-12400,Christopher Schild,4,7,4075.4,-499.13,5,5,5,Champions
SV-20935,Susan Vittorini,4,8,3665.49,106.89,5,5,5,Champions
DR-12880,Dan Reichenbach,5,7,7475.8,1213.22,5,5,5,Champions
YC-21895,Yoseph Carroll,6,3,2635.16,464.8,5,3,4,Loyal Customers
TC-21535,Tracy Collins,6,4,1022.16,183.93,5,3,2,Potential Loyalists
KB-16240,Karen Bern,6,4,3387.63,745.37,5,4,5,Champions
PO-18850,Patrick O'Brill,6,7,7453.98,-25.15,5,5,5,Champions
JH-15430,Jennifer Halladay,7,3,1243.61,-42.87,5,2,2,New Customers
GD-14590,Giulietta Dortch,7,3,2157.75,208.93,5,3,4,Loyal Customers
FH-14365,Fred Hopkins,7,5,1305.16,83.0,5,4,3,Loyal Customers
RA-19285,Ralph Arnett,7,5,2009.67,310.9,5,4,4,Champions
GA-14725,Guy Armstrong,7,5,2810.56,23.48,5,4,4,Champions
JW-15955,Joni Wasserman,7,6,1946.93,172.07,5,5,3,Loyal Customers
CV-12805,Cynthia Voltz,7,9,3511.31,99.0,5,5,5,Champions
MH-18115,Mick Hernandez,7,9,7813.09,170.97,5,5,5,Champions
RM-19675,Robert Marley,8,1,1008.43,1041.91,5,1,2,New Customers
JL-15175,James Lanier,8,3,1440.06,108.65,5,2,3,New Customers
AR-10540,Andy Reiter,8,3,6353.82,2617.22,5,3,5,Loyal Customers
NS-18505,Neola Schneider,8,4,3292.86,-12.3,5,4,5,Champions
AC-10615,Ann Chong,8,4,5079.93,331.12,5,4,5,Champions
RF-19840,Roy Französisch,8,5,1367.18,263.79,5,4,3,Loyal Customers
HG-15025,Hunter Glantz,8,5,1543.24,132.26,5,4,3,Loyal Customers
NC-18535,Nick Crebassa,8,5,6700.56,623.82,5,4,5,Champions
AH-10210,Alan Hwang,8,6,3310.14,952.22,5,5,5,Champions
CS-12355,Christine Sundaresam,8,7,2915.14,466.81,5,5,4,Champions
DP-13105,Dave Poirier,8,7,3456.89,546.89,5,5,5,Champions
MF-18250,Monica Federle,9,1,3513.87,287.24,5,1,5,New Customers
DK-12985,Darren Koutras,9,2,1447.48,-22.85,5,2,3,New Customers
JB-16045,Julia Barnett,9,4,2281.24,94.98,5,3,4,Loyal Customers
GZ-14470,Gary Zandusky,9,5,3323.46,911.01,5,4,5,Champions
JB-15400,Jennifer Braxton,9,6,2100.8,152.57,5,5,4,Champions
MM-17920,Michael Moore,9,7,3748.95,399.99,5,5,5,Champions
FM-14215,Filia McAdams,9,8,1987.49,20.91,5,5,3,Loyal Customers
SG-20080,Sandra Glassco,10,1,468.43,218.25,5,1,1,New Customers
SK-19990,Sally Knutson,10,3,652.41,168.79,5,2,2,New Customers
CM-12190,Charlotte Melton,10,3,972.99,74.32,5,2,2,New Customers
CM-12115,Chad McGuire,10,3,1846.97,400.95,5,3,3,Loyal Customers
JM-15655,Jim Mitchum,10,4,1800.57,109.48,5,3,3,Loyal Customers
JL-15130,Jack Lebron,10,4,2006.3,-217.18,5,3,4,Loyal Customers
JP-15520,Jeremy Pistek,10,4,2794.08,552.78,5,3,4,Loyal Customers
SR-20425,Sharelle Roach,10,4,3726.54,-3391.41,5,4,5,Champions
AG-10330,Alex Grayson,10,5,2639.99,-5.14,5,4,4,Champions
TP-21130,Theone Pippenger,10,7,3431.04,1130.98,5,5,5,Champions
BD-11635,Brian Derr,11,1,315.0,27.69,5,1,1,New Customers
BN-11515,Bradley Nguyen,11,3,1690.63,155.33,5,3,3,Loyal Customers
YS-21880,Yana Sorensen,11,5,5956.26,1524.11,5,4,5,Champions
LP-17095,Liz Preis,11,7,4311.4,338.45,5,5,5,Champions
SE-20110,Sanjit Engle,11,7,7821.98,2436.95,5,5,5,Champions
DB-13210,Dean Braden,11,9,3185.51,211.76,5,5,5,Champions
RB-19465,Rick Bensley,11,10,4554.33,303.59,5,5,5,Champions
PK-19075,Pete Kriz,11,11,8812.05,2024.95,5,5,5,Champions
DK-13150,David Kendrick,12,1,1365.27,171.44,5,1,3,New Customers
DK-13225,Dean Katz,12,6,7581.8,543.91,5,5,5,Champions
AC-10450,Amy Cox,13,4,5107.63,1257.51,5,4,5,Champions
TS-21505,Tony Sayre,13,5,3069.96,-76.08,5,4,4,Champions
AH-10030,Aaron Hawkins,14,2,429.15,40.38,5,1,1,New Customers
DJ-13630,Doug Jacobs,14,2,4303.43,695.57,5,2,5,New Customers
RA-19915,Russell Applegate,14,3,2110.89,144.6,5,3,4,Loyal Customers
HE-14800,Harold Engle,14,4,2057.53,274.4,5,3,4,Loyal Customers
DB-13660,Duane Benoit,14,5,3417.76,163.95,5,4,5,Champions
BP-11290,Beth Paige,14,6,3650.88,-248.96,5,5,5,Champions
TT-21460,Tonja Turnell,14,6,4209.7,843.38,5,5,5,Champions
EP-13915,Emily Phan,14,14,7230.63,-391.24,5,5,5,Champions
VF-21715,Vicky Freymann,15,3,1088.36,62.48,5,2,2,New Customers
GB-14575,Giulietta Baptist,15,3,1424.3,368.25,5,2,3,New Customers
HR-14770,Hallie Redmond,15,3,1833.95,135.86,5,3,3,Loyal Customers
CA-12310,Christine Abelman,15,3,2478.72,145.03,5,3,4,Loyal Customers
AI-10855,Arianne Irving,15,5,2841.77,562.45,5,4,4,Champions
AT-10735,Annie Thurman,15,7,2220.22,163.37,5,5,4,Champions
LC-17140,Logan Currie,15,7,3756.91,237.73,5,5,5,Champions
AR-10510,Andrew Roberts,16,2,620.77,24.08,5,1,2,New Customers
AY-10555,Andy Yotov,16,2,1407.01,37.74,5,2,3,New Customers
KM-16225,Kalyca Meade,16,4,2629.14,185.42,5,3,4,Loyal Customers
RD-19810,Ross DeVincentis,16,7,3144.3,310.8,5,5,4,Champions
KM-16660,Khloe Miller,17,3,2244.14,53.62,5,3,4,Loyal Customers
PL-18925,Paul Lucas,17,4,974.68,-32.58,5,3,2,Potential Loyalists
SS-20140,Saphhira Shifley,17,6,2876.74,394.59,5,5,4,Champions
GM-14455,Gary Mitchum,18,4,3158.1,477.12,5,4,5,Champions
MP-18175,Mike Pelletier,18,5,2544.61,-175.96,5,4,4,Champions
DB-13060,Dave Brooks,18,5,3791.39,63.27,5,4,5,Champions
LC-16885,Lena Creighton,18,6,1659.7,79.53,5,5,3,Loyal Customers
BF-11170,Ben Ferrer,18,6,3035.73,1135.24,5,5,4,Champions
KL-16555,Kelly Lampkin,18,6,4034.79,-113.53,5,5,5,Champions
MW-18220,Mitch Webber,19,2,413.44,8.99,5,1,1,New Customers
BP-11095,Bart Pistole,19,6,1534.74,248.32,5,5,3,Loyal Customers
RS-19870,Roy Skaria,21,2,711.33,9.58,5,1,2,New Customers
RR-19315,Ralph Ritter,21,2,1501.93,-73.83,5,2,3,New Customers
RB-19435,Richard Bierner,21,2,1803.89,362.54,5,2,3,New Customers
AA-10375,Allen Armold,21,4,2015.02,191.64,5,3,4,Loyal Customers
MV-18190,Mike Vittorini,21,4,2188.23,246.84,5,3,4,Loyal Customers
DV-13045,Darrin Van Huff,21,5,1648.48,-427.18,5,4,3,Loyal Customers
KN-16390,Katherine Nockton,21,5,1682.99,10.25,5,4,3,Loyal Customers
DK-13375,Dennis Kane,21,5,3048.21,363.64,5,4,4,Champions
NB-18655,Nona Balk,21,6,2060.89,-96.81,5,5,4,Champions
AS-10285,Alejandro Savely,21,6,3538.24,354.63,5,5,5,Champions
AW-10840,Anthony Witt,22,2,1102.23,79.27,5,2,2,New Customers
JE-16165,Justin Ellison,22,3,2263.25,789.65,5,3,4,Loyal Customers
HA-14920,Helen Andreada,22,4,1518.75,-41.96,5,3,3,Loyal Customers
BT-11680,Brian Thompson,22,4,1606.64,211.94,5,3,3,Loyal Customers
LS-16975,Lindsay Shagiari,22,5,2705.85,233.0,5,4,4,Champions
SU-20665,Stephanie Ulpright,22,6,2949.56,687.07,5,5,4,Champions
WB-21850,William Brown,22,6,4426.23,695.16,5,5,5,Champions
CC-12220,Chris Cortes,22,8,4100.03,360.54,5,5,5,Champions
AH-10585,Angele Hood,23,3,463.62,42.37,5,2,1,New Customers
AT-10435,Alyssa Tate,23,3,1378.07,102.56,5,2,3,New Customers
LE-16810,Laurel Elliston,23,3,1548.65,169.52,5,2,3,New Customers
LH-16900,Lena Hernandez,23,4,872.34,122.87,5,3,2,Potential Loyalists
HF-14995,Herbert Flentye,23,5,2973.58,-146.83,5,4,4,Champions
RD-19720,Roger Demir,23,6,1365.99,109.81,5,5,3,Loyal Customers
LW-17215,Luke Weiss,23,6,1955.22,416.65,5,5,3,Loyal Customers
DB-12910,Daniel Byrd,23,7,2355.23,427.75,5,5,4,Champions
JL-15835,John Lee,23,7,8765.33,839.96,5,5,5,Champions
DK-12835,Damala Kotsonis,23,8,3265.22,534.61,5,5,5,Champions
KH-16510,Keith Herrera,24,2,3093.24,431.29,5,2,4,New Customers
LF-17185,Luke Foster,24,3,557.9,71.89,5,2,1,New Customers
CW-11905,Carl Weiss,24,3,987.03,332.56,5,2,2,New Customers
AS-10225,Alan Schoenberger,24,3,2603.18,262.22,5,3,4,Loyal Customers
EG-13900,Emily Grady,24,4,1759.3,48.9,5,3,3,Loyal Customers
DL-13315,Delfina Latchford,24,5,1550.13,300.77,5,4,3,Loyal Customers
DM-13345,Denise Monton,24,5,4266.08,1312.51,5,4,5,Champions
MJ-17740,Max Jones,24,6,6323.43,1132.48,5,5,5,Champions
DC-13285,Debra Catini,25,3,515.91,21.52,5,2,1,New Customers
BH-11710,Brosina Hoffman,25,4,2356.02,561.14,5,3,4,Loyal Customers
FP-14320,Frank Preis,25,5,1971.13,409.02,5,4,3,Loyal Customers
DS-13180,David Smith,25,5,2435.45,-76.47,5,4,4,Champions
HG-14965,Henry Goldwyn,25,6,3233.82,-2835.25,5,5,5,Champions
SH-20395,Shahid Hopkins,25,7,782.79,105.44,5,5,2,Potential Loyalists
